,Player,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,Seasons
153,Kevin Pietersen,4,4,2,73,36.5,61,119.67,0,0,4,3,1
154,Khaleel Ahmed,23,3,0,1,0.11,5,5.56,0,0,0,0,3
155,Kieron Pollard,96,86,27,1661,4.24,1137,20.82,0,8,98,114,7
156,Krishnappa Gowtham,24,19,6,186,6.89,110,49.68,0,0,13,12,3
157,Krunal Pandya,98,85,26,1326,3.4,970,19.49,0,1,121,50,7
158,Kuldeep Yadav,56,18,11,105,3.56,127,17.8,0,0,8,2,5
159,Kuldip Yadav,1,1,1,0,0.0,4,0.0,0,0,0,0,1
160,Kumar Kartikeya Singh,4,1,0,3,3.0,5,60.0,0,0,0,0,1
161,Kyle Abbott,5,3,2,13,13.0,8,162.5,0,0,0,1,1
162,Kyle Jamieson,9,7,3,65,16.25,55,118.18,0,0,5,3,1
163,Lalit Yadav,19,13,4,229,14.25,219,50.86,0,0,18,7,2
164,Lasith Malinga,12,2,2,7,0.0,3,233.33,0,0,0,1,1
165,Lendl Simmons,8,8,0,145,6.89,120,55.58,0,2,10,9,2
166,Liam Livingstone,23,23,3,550,7.61,329,48.05,0,4,38,40,3
167,Liam Plunkett,7,2,1,1,1.0,3,33.33,0,0,0,0,1
168,Lockie Ferguson,30,9,7,67,0.16,45,33.56,0,0,6,2,4
169,MS Dhoni,105,90,39,1991,6.13,1538,18.01,0,9,128,103,7
170,Maheesh Theekshana,9,2,1,7,7.0,7,100.0,0,0,0,1,1
171,Mahipal Lomror,18,15,2,267,3.85,208,30.03,0,0,15,13,5
172,Manan Vohra,28,25,0,506,3.67,387,26.57,0,2,50,20,5
173,Mandeep Singh,49,46,12,768,3.55,629,19.0,0,2,63,23,6
174,Manish Pandey,83,77,17,2077,5.01,1649,17.79,0,16,166,62,7
175,Manoj Tiwary,20,17,4,371,12.02,280,61.02,0,2,35,12,2
176,Marco Jansen,10,5,2,9,2.25,10,32.14,0,0,0,1,2
177,Marcus Stoinis,67,59,18,1070,3.81,779,18.18,0,4,83,48,7
178,Mark Wood,1,1,0,1,1.0,3,33.33,0,0,0,0,1
179,Marlon Samuels,5,4,0,29,7.25,31,93.54,0,0,1,2,1
180,Martin Guptill,13,13,1,270,7.56,196,45.16,0,1,24,15,3
181,Matthew Wade,10,10,0,157,15.7,138,113.76,0,0,23,2,1
182,Mayank Agarwal,66,65,2,1566,3.06,1125,18.23,1,9,150,59,7
183,Mayank Markande,17,8,5,27,4.12,29,51.88,0,0,3,0,2
184,Mitchell Johnson,14,8,6,41,0.28,42,33.2,0,0,3,1,3
185,Mitchell Marsh,12,10,0,258,4.26,201,21.83,0,2,19,14,3
186,Mitchell McClenaghan,44,21,9,72,1.53,64,27.08,0,0,5,5,4
187,Mitchell Santner,10,6,3,54,10.75,50,55.15,0,0,3,3,2
188,Moeen Ali,44,42,3,910,4.03,632,27.32,0,5,76,53,5
189,Mohammad Nabi,17,14,2,180,1.66,119,27.02,0,0,16,9,5
190,Mohammad Shami,62,18,10,61,0.89,56,14.16,0,0,5,2,6
