,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
96,Sandeep Sharma,13,5,3,12,9.0,,15,80.0,0,0,1,0
97,Mohammad Nabi,1,1,1,11,11.0,,8,137.5,0,0,2,0
98,Rinku Singh,1,1,0,11,11.0,,11,100.0,0,0,1,0
99,Shivam Mavi,8,3,1,10,9.0,,14,71.42,0,0,1,0
100,Varun Chakaravarthy,13,3,1,10,7.0,,15,66.66,0,0,0,0
101,Ankit Rajpoot,6,2,1,9,7.0,,10,90.0,0,0,0,1
102,Jaydev Unadkat,7,1,0,9,9.0,,13,69.23,0,0,0,0
103,Pravin Dubey,3,1,1,7,7.0,,13,53.84,0,0,0,0
104,Dwayne Bravo,6,2,0,7,7.0,,6,116.66,0,0,0,0
105,Shahbaz Nadeem,7,2,1,7,5.0,,8,87.5,0,0,1,0
106,Deepak Chahar,14,3,2,7,5.0,,12,58.33,0,0,0,0
107,Ravi Bishnoi,14,3,2,7,6.0,,12,58.33,0,0,1,0
108,Anrich Nortje,16,5,4,7,3.0,,6,116.66,0,0,0,0
109,Andrew Tye,1,1,0,6,6.0,,6,100.0,0,0,0,1
110,Jasprit Bumrah,15,1,1,5,5.0,,3,166.66,0,0,0,0
111,Murugan Ashwin,9,1,0,4,4.0,,4,100.0,0,0,0,0
112,Kartik Tyagi,10,3,2,4,2.0,,6,66.66,0,0,0,0
113,Dhawal Kulkarni,1,1,1,3,3.0,,2,150.0,0,0,0,0
114,T Natarajan,16,3,3,3,3.0,,5,60.0,0,0,0,0
115,Prasidh Krishna,6,2,2,2,2.0,,4,50.0,0,0,0,0
116,Mohammad Shami,14,3,2,2,2.0,,3,66.66,0,0,0,0
117,Rahul Chahar,15,1,1,2,2.0,,4,50.0,0,0,0,0
118,Nikhil Naik,1,1,0,1,1.0,,3,33.33,0,0,0,0
119,Mujeeb Ur Rahman,2,1,0,1,1.0,,3,33.33,0,0,0,0
120,Shahbaz Ahmed,2,1,1,1,1.0,,1,100.0,0,0,0,0
121,Dale Steyn,3,1,1,1,1.0,,2,50.0,0,0,0,0
122,Varun Aaron,3,2,1,1,1.0,,10,10.0,0,0,0,0
123,Yuzvendra Chahal,15,2,1,1,1.0,,3,33.33,0,0,0,0
124,Mitchell Marsh,1,1,0,0,0.0,,1,0.0,0,0,0,0
125,Shreevats Goswami,2,2,0,0,0.0,,4,0.0,0,0,0,0
126,Umesh Yadav,2,1,0,0,0.0,,2,0.0,0,0,0,0
127,Daniel Sams,3,1,0,0,0.0,,2,0.0,0,0,0,0
128,Bhuvneshwar Kumar,4,1,0,0,0.0,,2,0.0,0,0,0,0
