,Player,Mat_2016,Inns_2016,NO_2016,Runs_2016,HS_2016,Avg_2016,BF_2016,SR_2016,100_2016,50_2016,4s_2016,6s_2016,Mat_2017,Inns_2017,NO_2017,Runs_2017,HS_2017,Avg_2017,BF_2017,SR_2017,100_2017,50_2017,4s_2017,6s_2017,Mat_2018,Inns_2018,NO_2018,Runs_2018,HS_2018,Avg_2018,BF_2018,SR_2018,100_2018,50_2018,4s_2018,6s_2018,Mat_2019,Inns_2019,NO_2019,Runs_2019,HS_2019,Avg_2019,BF_2019,SR_2019,100_2019,50_2019,4s_2019,6s_2019,Mat_2020,Inns_2020,NO_2020,Runs_2020,HS_2020,Avg_2020,BF_2020,SR_2020,100_2020,50_2020,4s_2020,6s_2020,Mat_2021,Inns_2021,NO_2021,Runs_2021,HS_2021,Avg_2021,BF_2021,SR_2021,100_2021,50_2021,4s_2021,6s_2021,Mat_2022,Inns_2022,NO_2022,Runs_2022,HS_2022,Avg_2022,BF_2022,SR_2022,100_2022,50_2022,4s_2022,6s_2022
165,Washington Sundar,,,,,,,,,,,,,11.0,5.0,4.0,9.0,5*,9.0,12.0,75.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,65.0,35,21.66,38.0,171.05,0.0,0.0,5.0,4.0,3.0,2.0,0.0,1.0,1,0.5,3.0,33.33,0.0,0.0,0.0,0.0,15.0,9.0,3.0,111.0,30,18.5,95.0,116.84,0.0,0.0,10.0,2.0,6.0,4.0,0.0,31.0,10,7.75,47.0,65.95,0.0,0.0,2.0,0.0,9.0,7.0,0.0,101.0,40,14.43,69.0,146.37,0.0,0.0,9.0,3.0
166,Tymal Mills,,,,,,,,,,,,,5.0,3.0,0.0,8.0,6,2.66,11.0,72.72,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Ishant Sharma,,,,,,,,,,,,,6.0,3.0,1.0,8.0,5*,4.0,12.0,66.66,0.0,0.0,1.0,0.0,,,,,,,,,,,,,13.0,3.0,3.0,10.0,10*,0.0,3.0,333.33,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Ashok Dinda,,,,,,,,,,,,,3.0,1.0,0.0,7.0,7,7.0,7.0,100.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Adam Milne,,,,,,,,,,,,,4.0,3.0,1.0,7.0,5,3.5,12.0,58.33,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,16.0,15,8.0,17.0,94.11,0.0,0.0,0.0,1.0,,,,,,,,,,,,
170,Ankit Soni,,,,,,,,,,,,,7.0,3.0,1.0,7.0,7*,3.5,9.0,77.77,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Lasith Malinga,,,,,,,,,,,,,12.0,2.0,2.0,7.0,7*,0.0,3.0,233.33,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Darren Bravo,,,,,,,,,,,,,1.0,1.0,1.0,6.0,6*,0.0,5.0,120.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Trent Boult,,,,,,,,,,,,,6.0,1.0,1.0,5.0,5*,0.0,8.0,62.5,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0*,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,7.0,6,7.0,4.0,175.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,1.0,1*,0.0,4.0,25.0,0.0,0.0,0.0,0.0,16.0,8.0,6.0,40.0,17*,20,29.0,137.93,0.0,0.0,2.0,1.0
174,Ankit Rajpoot,,,,,,,,,,,,,5.0,1.0,0.0,4.0,4,4.0,7.0,57.14,0.0,0.0,1.0,0.0,8.0,3.0,0.0,11.0,8,3.66,18.0,61.11,0.0,0.0,1.0,0.0,,,,,,,,,,,,,6.0,2.0,1.0,9.0,7*,9.0,10.0,90.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
175,Varun Aaron,,,,,,,,,,,,,6.0,2.0,1.0,4.0,4,4.0,10.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5.0,1.0,1.0,3.0,3*,0.0,7.0,42.85,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1,1.0,10.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
176,Rahul Chahar,,,,,,,,,,,,,3.0,1.0,1.0,3.0,3*,0.0,2.0,150.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,13.0,4.0,2.0,12.0,10,6.0,11.0,109.09,0.0,0.0,2.0,0.0,15.0,1.0,1.0,2.0,2*,0.0,4.0,50.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,14.0,8,2.8,15.0,93.33,0.0,0.0,1.0,0.0,13.0,8.0,2.0,77.0,25*,12.83,68.0,113.23,0.0,0.0,7.0,4.0
177,Mohammad Nabi,,,,,,,,,,,,,3.0,1.0,0.0,2.0,2,2.0,3.0,66.66,0.0,0.0,0.0,0.0,2.0,2.0,0.0,18.0,14,9.0,12.0,150.0,0.0,0.0,3.0,0.0,8.0,7.0,1.0,115.0,31,19.16,76.0,151.31,0.0,0.0,8.0,7.0,1.0,1.0,1.0,11.0,11*,0.0,8.0,137.5,0.0,0.0,2.0,0.0,3.0,3.0,0.0,34.0,17,11.33,20.0,170.0,0.0,0.0,3.0,2.0,,,,,,,,,,,,
178,Pradeep Sangwan,,,,,,,,,,,,,5.0,3.0,1.0,2.0,1*,1.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0*,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,2.0,2,2,5.0,40.0,0.0,0.0,0.0,0.0
