,Player,Mat,Inns,Ov,Wkts,Runs,Avg,Econ,SR,4w,5w,year
654,Vijay Shankar,13,4,5.0,1,58,58.0,11.6,30.0,0,0,2018
655,Yusuf Pathan,15,1,2.0,1,14,14.0,7.0,12.0,0,0,2018
656,Mohammad Nabi,2,2,5.0,1,47,47.0,9.4,30.0,0,0,2018
657,Bhuvneshwar Kumar,14,14,52.0,26,369,14.19,7.05,12.07,0,1,2017
658,Jaydev Unadkat,12,12,46.0,24,322,13.41,7.02,11.45,0,1,2017
659,Jasprit Bumrah,16,16,59.0,20,439,21.95,7.39,17.8,0,0,2017
660,Mitchell McClenaghan,14,14,54.0,19,507,26.68,9.38,17.05,0,0,2017
661,Imran Tahir,12,12,47.0,18,369,20.5,7.85,15.66,0,0,2017
662,Chris Woakes,13,13,44.0,17,386,22.7,8.77,15.52,0,0,2017
663,Rashid Khan,14,14,54.0,17,358,21.05,6.62,19.05,0,0,2017
664,Sandeep Sharma,13,13,48.0,17,398,23.41,8.29,16.94,1,0,2017
665,Umesh Yadav,14,14,48.0,17,410,24.11,8.45,17.11,1,0,2017
666,Siddarth Kaul,10,10,35.0,16,300,18.75,8.41,13.37,1,0,2017
667,Pawan Negi,12,12,32.0,16,197,12.31,6.12,12.06,0,0,2017
668,Axar Patel,14,14,48.0,15,362,24.13,7.54,19.2,0,0,2017
669,Nathan Coulter-Nile,8,8,28.0,15,228,15.2,8.04,11.33,0,0,2017
670,Pat Cummins,12,12,46.0,15,373,24.86,8.07,18.46,0,0,2017
671,Yuzvendra Chahal,13,13,43.0,14,333,23.78,7.65,18.64,0,0,2017
672,Mohit Sharma,14,14,45.0,13,410,31.53,8.97,21.07,0,0,2017
673,Karn Sharma,9,9,30.0,13,214,16.46,6.97,14.15,1,0,2017
674,Kuldeep Yadav,12,11,41.0,12,340,28.33,8.29,20.5,0,0,2017
675,Chris Morris,9,9,31.0,12,240,20.0,7.74,15.5,1,0,2017
676,Ben Stokes,12,12,44.0,12,316,26.33,7.18,22.0,0,0,2017
677,Andrew Tye,6,6,21.0,12,141,11.75,6.71,10.5,0,1,2017
678,Shardul Thakur,12,12,38.0,11,315,28.63,8.25,20.81,0,0,2017
679,Dan Christian,13,13,40.0,11,298,27.09,7.45,21.81,0,0,2017
680,Basil Thampi,12,12,44.0,11,424,38.54,9.49,24.36,0,0,2017
681,Lasith Malinga,12,12,45.0,11,382,34.72,8.52,24.45,0,0,2017
682,Zaheer Khan,11,11,40.0,10,313,31.3,7.79,24.1,0,0,2017
683,Sunil Narine,16,15,59.0,10,412,41.2,6.98,35.4,0,0,2017
684,Mohammed Siraj,6,6,23.0,10,212,21.2,9.21,13.8,1,0,2017
685,Amit Mishra,14,14,39.0,10,343,34.3,8.83,23.3,0,0,2017
686,Krunal Pandya,13,13,40.0,10,273,27.3,6.82,24.0,0,0,2017
687,Samuel Badree,7,7,25.0,9,188,20.88,7.52,16.66,1,0,2017
688,Washington Sundar,11,10,30.0,8,185,23.12,6.16,22.5,0,0,2017
689,Harbhajan Singh,11,11,41.0,8,266,33.25,6.48,30.75,0,0,2017
690,Ashish Nehra,6,6,21.0,8,197,24.62,9.3,15.87,0,0,2017
691,Varun Aaron,6,6,20.0,7,163,23.28,8.15,17.14,0,0,2017
692,Mitchell Johnson,5,5,20.0,7,141,20.14,7.05,17.14,0,0,2017
693,Adam Zampa,6,6,20.0,7,163,23.28,8.21,17.0,0,0,2017
694,Glenn Maxwell,14,8,19.0,7,125,17.85,6.57,16.28,0,0,2017
695,James Faulkner,8,8,26.0,6,258,43.0,9.79,26.33,0,0,2017
696,Shahbaz Nadeem,7,7,18.0,6,119,19.83,6.67,17.83,0,0,2017
697,Praveen Kumar,6,6,16.0,6,151,25.16,9.15,16.5,0,0,2017
698,Piyush Chawla,6,6,20.0,6,179,29.83,8.95,20.0,0,0,2017
699,Kagiso Rabada,6,6,21.0,6,188,31.33,8.81,21.33,0,0,2017
700,Hardik Pandya,17,13,26.0,6,213,35.5,8.19,26.0,0,0,2017
701,Aniket Choudhary,5,5,17.0,5,144,28.8,8.55,20.2,0,0,2017
702,Pradeep Sangwan,5,5,18.0,5,181,36.2,10.05,21.6,0,0,2017
703,Tymal Mills,5,5,18.0,5,153,30.6,8.57,21.4,0,0,2017
704,Mohammad Shami,8,8,26.0,5,243,48.6,9.34,31.2,0,0,2017
705,Trent Boult,6,6,24.0,5,216,43.2,9.06,28.6,0,0,2017
706,Ravindra Jadeja,12,12,38.0,5,349,69.8,9.18,45.6,0,0,2017
707,Sreenath Aravind,10,10,30.0,5,275,55.0,9.01,36.6,0,0,2017
708,Shane Watson,8,8,27.0,5,245,49.0,9.13,32.2,0,0,2017
709,Stuart Binny,8,4,6.0,4,50,12.5,8.33,9.0,0,0,2017
710,Colin de Grandhomme,12,9,16.0,4,135,33.75,8.43,24.0,0,0,2017
711,KC Cariappa,4,4,15.0,4,127,31.75,8.46,22.5,0,0,2017
712,Ankit Rajpoot,5,5,14.0,4,107,26.75,7.64,21.0,0,0,2017
713,Lockie Ferguson,4,4,13.0,3,93,31.0,7.15,26.0,0,0,2017
714,Bipul Sharma,7,7,16.0,3,129,43.0,7.89,32.66,0,0,2017
715,Tim Southee,3,3,10.0,3,96,32.0,9.6,20.0,0,0,2017
716,Rahul Tewatia,3,3,9.0,3,49,16.33,5.44,18.0,0,0,2017
717,Adam Milne,4,4,14.0,3,134,44.66,9.57,28.0,0,0,2017
718,Harshal Patel,1,1,4.0,3,43,14.33,10.75,8.0,0,0,2017
719,Corey Anderson,11,8,19.0,3,186,62.0,9.87,37.66,0,0,2017
720,Dhawal Kulkarni,6,6,19.0,3,173,57.66,9.18,37.66,0,0,2017
721,Iqbal Abdulla,2,2,5.0,2,55,27.5,11.0,15.0,0,0,2017
722,Marcus Stoinis,5,5,10.0,2,110,55.0,10.47,31.5,0,0,2017
723,Vinay Kumar,1,1,3.0,2,31,15.5,10.33,9.0,0,0,2017
724,Ankit Soni,7,6,18.0,2,144,72.0,7.92,54.5,0,0,2017
725,Mohammad Nabi,3,3,11.0,2,58,29.0,5.27,33.0,0,0,2017
726,Dwayne Smith,12,9,13.0,2,148,74.0,11.38,39.0,0,0,2017
727,Travis Head,7,5,8.0,2,81,40.5,10.12,24.0,0,0,2017
728,T Natarajan,6,6,12.0,2,115,57.5,9.07,38.0,0,0,2017
729,Rahul Chahar,3,2,7.0,2,58,29.0,8.28,21.0,0,0,2017
730,Rajat Bhatia,3,3,7.0,2,55,27.5,7.85,21.0,0,0,2017
731,Billy Stanlake,2,2,8.0,2,70,35.0,8.75,24.0,0,0,2017
732,Deepak Hooda,10,3,4.0,2,42,21.0,10.5,12.0,0,0,2017
733,Nathu Singh,2,2,4.0,1,15,15.0,3.75,24.0,0,0,2017
734,Matt Henry,2,2,5.0,1,71,71.0,14.2,30.0,0,0,2017
735,Yuvraj Singh,12,2,2.0,1,22,22.0,11.0,12.0,0,0,2017
736,Yusuf Pathan,15,4,4.0,1,41,41.0,10.25,24.0,0,0,2017
737,Carlos Brathwaite,2,2,6.0,1,67,67.0,11.16,36.0,0,0,2017
738,Deepak Chahar,3,3,7.0,1,74,74.0,10.57,42.0,0,0,2017
739,Ashok Dinda,3,3,10.0,1,119,119.0,11.9,60.0,0,0,2017
740,Munaf Patel,2,2,7.0,1,57,57.0,8.14,42.0,0,0,2017
741,Shubham Agarwal,1,1,4.0,1,42,42.0,10.5,24.0,0,0,2017
742,Ben Cutting,4,4,12.0,1,123,123.0,9.71,76.0,0,0,2017
743,Swapnil Singh,4,4,7.0,1,61,61.0,8.71,42.0,0,0,2017
744,Suresh Raina,14,6,12.0,1,102,102.0,8.5,72.0,0,0,2017
745,Avesh Khan,1,1,4.0,1,23,23.0,5.75,24.0,0,0,2017
746,Moises Henriques,12,12,24.0,1,248,248.0,10.33,144.0,0,0,2017
747,Bhuvneshwar Kumar,17,17,66.0,23,490,21.3,7.42,17.21,1,0,2016
748,Yuzvendra Chahal,13,13,49.0,21,401,19.09,8.15,14.04,1,0,2016
749,Shane Watson,16,16,56.0,20,485,24.25,8.58,16.95,1,0,2016
750,Dhawal Kulkarni,14,14,49.0,18,364,20.22,7.42,16.33,1,0,2016
751,Mitchell McClenaghan,14,14,53.0,17,436,25.64,8.17,18.82,1,0,2016
752,Dwayne Bravo,15,15,56.0,17,494,29.05,8.82,19.76,1,0,2016
753,Mustafizur Rahman,16,16,61.0,17,421,24.76,6.9,21.52,0,0,2016
754,Jasprit Bumrah,14,14,52.0,15,406,27.06,7.8,20.8,0,0,2016
755,Sandeep Sharma,14,14,50.0,15,366,24.4,7.32,20.0,0,0,2016
756,Andre Russell,12,12,36.0,15,291,19.4,7.97,14.6,1,0,2016
757,Barinder Sran,14,14,49.0,14,413,29.5,8.34,21.21,0,0,2016
758,Axar Patel,14,14,48.0,13,388,29.84,8.11,22.07,1,0,2016
759,Mohit Sharma,14,14,48.0,13,407,31.3,8.39,22.38,0,0,2016
760,Chris Morris,12,12,44.0,13,308,23.69,7.0,20.3,0,0,2016
761,Amit Mishra,14,14,46.0,13,344,26.46,7.47,21.23,1,0,2016
762,Adam Zampa,5,5,17.0,12,115,9.58,6.76,8.5,0,1,2016
763,Moises Henriques,17,17,52.0,12,415,34.58,7.98,26.0,0,0,2016
764,Sreenath Aravind,9,9,29.0,11,216,19.63,7.4,15.9,0,0,2016
765,Sunil Narine,11,11,43.0,11,304,27.63,7.09,23.36,0,0,2016
766,Ashok Dinda,9,9,30.0,11,231,21.0,7.57,16.63,0,0,2016
767,Piyush Chawla,12,11,35.0,11,273,24.81,7.72,19.27,0,0,2016
768,Chris Jordan,9,9,28.0,11,258,23.45,9.21,15.27,1,0,2016
769,Zaheer Khan,12,12,43.0,10,337,33.7,7.71,26.2,0,0,2016
770,Morne Morkel,10,10,35.0,10,297,29.7,8.36,21.3,0,0,2016
771,Umesh Yadav,9,9,26.0,10,234,23.4,9.0,15.6,0,0,2016
772,Ravichandran Ashwin,14,14,44.0,10,319,31.9,7.25,26.4,1,0,2016
773,Tim Southee,11,11,43.0,9,329,36.55,7.65,28.66,0,0,2016
774,Thisara Perera,12,11,33.0,9,326,36.22,9.82,22.11,0,0,2016
775,Praveen Kumar,16,16,51.0,9,401,44.55,7.78,34.33,0,0,2016
776,Ashish Nehra,8,8,26.0,9,199,22.11,7.65,17.33,0,0,2016
777,Harbhajan Singh,14,14,49.0,9,392,43.55,8.0,32.66,0,0,2016
778,Dwayne Smith,12,8,18.0,8,153,19.12,8.5,13.5,1,0,2016
779,Ravindra Jadeja,15,14,40.0,8,311,38.87,7.74,30.12,0,0,2016
780,Marcus Stoinis,7,7,23.0,8,194,24.25,8.43,17.25,1,0,2016
781,Kane Richardson,4,4,14.0,7,136,19.42,9.71,12.0,0,0,2016
782,Carlos Brathwaite,8,8,23.0,7,185,26.42,7.98,19.85,0,0,2016
783,Murugan Ashwin,10,10,28.0,7,241,34.42,8.45,24.42,0,0,2016
784,Shivil Kaushik,7,7,23.0,6,192,32.0,8.34,23.0,0,0,2016
785,Krunal Pandya,12,11,31.0,6,236,39.33,7.57,31.16,0,0,2016
786,Kuldeep Yadav,3,3,12.0,6,100,16.66,8.33,12.0,0,0,2016
787,Iqbal Abdulla,8,8,25.0,6,213,35.5,8.52,25.0,0,0,2016
788,Rajat Bhatia,10,10,34.0,6,244,40.66,7.17,34.0,0,0,2016
789,Pravin Tambe,7,7,16.0,5,143,28.6,8.93,19.2,0,0,2016
790,Shakib Al Hasan,10,9,31.0,5,243,48.6,7.83,37.2,0,0,2016
791,Ben Cutting,4,4,11.0,5,80,16.0,7.16,13.4,0,0,2016
792,Imran Tahir,4,4,16.0,5,138,27.6,8.62,19.2,0,0,2016
793,Mohammad Shami,8,8,25.0,5,244,48.8,9.69,30.2,0,0,2016
794,Brad Hogg,5,5,16.0,4,142,35.5,8.87,24.0,0,0,2016
795,Mitchell Marsh,3,3,9.0,4,45,11.25,5.0,13.5,0,0,2016
796,Bipul Sharma,7,6,14.0,3,121,40.33,8.64,28.0,0,0,2016
797,Vinay Kumar,3,3,9.0,3,64,21.33,7.11,18.0,0,0,2016
798,RP Singh,4,4,12.0,3,111,37.0,9.25,24.0,0,0,2016
799,Ankit Rajpoot,4,4,11.0,3,98,32.66,8.9,22.0,0,0,2016
800,Tabraiz Shamsi,4,4,16.0,3,147,49.0,9.18,32.0,0,0,2016
801,Pradeep Sahu,5,5,17.0,3,146,48.66,8.34,35.0,0,0,2016
802,Nathan Coulter-Nile,4,4,15.0,3,114,38.0,7.6,30.0,0,0,2016
803,Hardik Pandya,11,10,16.0,3,153,51.0,9.18,33.33,0,0,2016
804,Ishant Sharma,4,4,15.0,3,148,49.33,9.86,30.0,0,0,2016
805,Deepak Hooda,17,6,13.0,3,97,32.33,7.46,26.0,0,0,2016
806,KC Cariappa,5,5,17.0,3,159,53.0,9.35,34.0,0,0,2016
807,Scott Boland,2,2,7.0,2,54,27.0,7.71,21.0,0,0,2016
808,James Faulkner,7,7,17.0,2,167,83.5,9.82,51.0,0,0,2016
809,Jason Holder,4,4,13.0,2,103,51.5,7.92,39.0,0,0,2016
810,Jayant Yadav,5,5,17.0,2,125,62.5,7.35,51.0,0,0,2016
811,John Hastings,2,2,6.0,2,37,18.5,5.55,20.0,0,0,2016
812,Varun Aaron,8,8,23.0,2,227,113.5,9.59,71.0,0,0,2016
813,JP Duminy,10,5,7.0,2,55,27.5,7.85,21.0,0,0,2016
814,Shahbaz Nadeem,4,4,15.0,2,127,63.5,8.46,45.0,0,0,2016
815,Shadab Jakati,6,6,20.0,2,178,89.0,8.9,60.0,0,0,2016
816,Sachin Baby,11,2,1.0,2,8,4.0,4.8,5.0,0,0,2016
817,Kyle Abbott,5,5,16.0,2,177,88.5,11.06,48.0,0,0,2016
818,Rishi Dhawan,2,2,7.0,2,56,28.0,8.0,21.0,0,0,2016
819,Mitchell Johnson,3,3,11.0,2,106,53.0,9.63,33.0,0,0,2016
820,Gurkeerat Mann Singh,7,3,4.0,2,31,15.5,7.75,12.0,0,0,2016
821,Chris Gayle,10,4,10.0,2,63,31.5,6.3,30.0,0,0,2016
822,Albie Morkel,2,2,5.0,2,66,33.0,13.2,15.0,0,0,2016
823,Yusuf Pathan,15,4,6.0,1,33,33.0,5.5,36.0,0,0,2016
824,Trent Boult,1,1,4.0,1,39,39.0,9.75,24.0,0,0,2016
825,Adam Milne,1,1,4.0,1,43,43.0,10.75,24.0,0,0,2016
826,Ankit Sharma,3,3,11.0,1,84,84.0,7.63,66.0,0,0,2016
827,Stuart Binny,14,11,17.0,1,134,134.0,7.88,102.0,0,0,2016
828,Ashish Reddy,4,2,4.0,1,39,39.0,10.17,23.0,0,0,2016
829,Rajagopal Sathish,4,3,6.0,1,59,59.0,9.83,36.0,0,0,2016
830,Pawan Negi,8,5,9.0,1,84,84.0,9.33,54.0,0,0,2016
831,Parveez Rasool,4,4,14.0,1,129,129.0,9.21,84.0,0,0,2016
832,Harshal Patel,5,5,14.0,1,147,147.0,10.5,84.0,0,0,2016
833,Dwayne Bravo,17,16,52.0,26,426,16.38,8.14,12.07,0,0,2015
834,Lasith Malinga,15,15,60.0,24,444,18.5,7.4,15.0,1,0,2015
835,Yuzvendra Chahal,15,14,47.0,23,415,18.04,8.86,12.21,0,0,2015
836,Ashish Nehra,16,16,62.0,22,449,20.4,7.24,16.9,1,0,2015
837,Mitchell Starc,13,12,43.0,20,291,14.55,6.76,12.9,1,0,2015
838,Mitchell McClenaghan,12,12,47.0,18,386,21.44,8.21,15.66,0,0,2015
839,Harbhajan Singh,15,15,57.0,18,446,24.77,7.82,19.0,0,0,2015
840,Bhuvneshwar Kumar,14,14,51.0,18,407,22.61,7.87,17.22,0,0,2015
841,Harshal Patel,15,14,44.0,17,328,19.29,7.48,15.47,0,0,2015
842,David Wiese,14,13,42.0,16,353,22.06,8.33,15.87,1,0,2015
843,Nathan Coulter-Nile,11,11,42.0,15,321,21.4,7.55,17.0,1,0,2015
844,Imran Tahir,10,10,35.0,15,314,20.93,8.84,14.2,1,0,2015
845,Anureet Singh,14,14,51.0,15,465,31.0,9.0,20.66,0,0,2015
846,Andre Russell,13,13,40.0,14,324,23.14,7.96,17.42,0,0,2015
847,Mohit Sharma,16,16,57.0,14,481,34.35,8.43,24.42,0,0,2015
848,Axar Patel,14,14,46.0,13,392,30.15,8.4,21.53,0,0,2015
849,Sandeep Sharma,14,14,50.0,13,350,26.92,7.0,23.07,1,0,2015
850,Dhawal Kulkarni,11,11,35.0,13,277,21.3,7.91,16.15,0,0,2015
851,Chris Morris,11,11,42.0,13,311,23.92,7.4,19.38,1,0,2015
852,Moises Henriques,9,9,25.0,11,158,14.36,6.32,13.63,0,0,2015
853,Piyush Chawla,13,13,35.0,11,269,24.45,7.68,19.09,1,0,2015
854,Ravindra Jadeja,17,15,42.0,11,330,30.0,7.73,23.27,1,0,2015
855,Ishwar Pandey,10,10,31.0,11,223,20.27,7.19,16.9,0,0,2015
856,Umesh Yadav,12,12,42.0,10,382,38.2,9.09,25.2,0,0,2015
857,Karn Sharma,14,14,40.0,10,332,33.2,8.33,23.9,0,0,2015
858,Ravichandran Ashwin,14,13,39.0,10,228,22.8,5.84,23.4,0,0,2015
859,Jagadeesha Suchith,13,12,39.0,10,337,33.7,8.64,23.4,0,0,2015
860,Morne Morkel,7,7,28.0,10,206,20.6,7.35,16.8,0,0,2015
861,Amit Mishra,12,12,40.0,9,310,34.44,7.71,26.77,0,0,2015
862,Mitchell Johnson,9,9,36.0,9,336,37.33,9.37,23.88,0,0,2015
863,Brad Hogg,6,6,21.0,9,144,16.0,6.85,14.0,1,0,2015
864,Trent Boult,7,7,28.0,9,236,26.22,8.42,18.66,0,0,2015
865,James Faulkner,13,13,45.0,8,426,53.25,9.46,33.75,0,0,2015
866,Sreenath Aravind,5,5,18.0,8,132,16.5,7.33,13.5,1,0,2015
867,JP Duminy,14,9,17.0,8,126,15.75,7.41,12.75,1,0,2015
868,Angelo Mathews,11,10,30.0,7,246,35.14,8.2,25.71,0,0,2015
869,Zaheer Khan,7,7,24.0,7,156,22.28,6.45,20.71,0,0,2015
870,Sunil Narine,8,8,32.0,7,234,33.42,7.31,27.42,1,0,2015
871,Praveen Kumar,12,12,36.0,7,329,47.0,9.13,30.85,0,0,2015
872,Pravin Tambe,10,10,34.0,7,266,38.0,7.82,29.14,0,0,2015
873,Vinay Kumar,13,13,43.0,7,368,52.57,8.45,37.28,0,0,2015
874,Ravi Bopara,9,7,20.0,6,160,26.66,8.0,20.0,0,0,2015
875,Shane Watson,10,10,29.0,6,269,44.83,9.27,29.0,0,0,2015
876,Pawan Negi,10,10,30.0,6,252,42.0,8.4,30.0,0,0,2015
877,Tim Southee,7,7,28.0,6,247,41.16,8.82,28.0,0,0,2015
878,Beuran Hendricks,4,4,13.0,5,109,21.8,8.38,15.6,0,0,2015
879,Stuart Binny,13,10,19.0,4,140,35.0,7.36,28.5,0,0,2015
880,Domnic Joseph,6,6,14.0,4,101,25.25,7.21,21.0,0,0,2015
881,Shakib Al Hasan,4,4,14.0,4,123,30.75,8.78,21.0,0,0,2015
882,Iqbal Abdulla,5,5,19.0,4,150,37.5,7.89,28.5,0,0,2015
883,Varun Aaron,6,5,17.0,3,177,59.0,10.21,34.66,0,0,2015
884,Albie Morkel,4,4,12.0,3,109,36.33,9.08,24.0,0,0,2015
885,Kieron Pollard,16,8,12.0,3,120,40.0,9.47,25.33,0,0,2015
886,Ankit Sharma,4,4,14.0,3,114,38.0,8.14,28.0,0,0,2015
887,Gurkeerat Mann Singh,5,3,9.0,3,66,22.0,7.33,18.0,0,0,2015
888,Dale Steyn,6,6,19.0,3,170,56.66,8.94,38.0,0,0,2015
889,Ashish Reddy,6,4,6.0,3,50,16.66,8.33,12.0,0,0,2015
890,Bipul Sharma,4,3,7.0,3,50,16.66,7.14,14.0,0,0,2015
891,Jasprit Bumrah,4,4,15.0,3,184,61.33,12.26,30.0,0,0,2015
892,Glenn Maxwell,11,7,10.0,2,97,48.5,9.7,30.0,0,0,2015
893,Suresh Raina,17,5,12.0,2,93,46.5,7.75,36.0,0,0,2015
894,Jayant Yadav,3,3,7.0,2,29,14.5,4.14,21.0,0,0,2015
895,Yusuf Pathan,13,5,10.0,2,97,48.5,9.7,30.0,0,0,2015
896,Corey Anderson,4,2,4.0,1,33,33.0,8.25,24.0,0,0,2015
897,Deepak Hooda,14,7,15.0,1,129,129.0,8.5,91.0,0,0,2015
898,Thisara Perera,2,2,6.0,1,55,55.0,9.16,36.0,0,0,2015
899,Yuvraj Singh,14,6,9.0,1,72,72.0,8.0,54.0,0,0,2015
900,Abu Nechim,3,3,12.0,1,128,128.0,10.66,72.0,0,0,2015
901,Dwayne Smith,16,1,2.0,1,17,17.0,8.5,12.0,0,0,2015
902,Shivam Sharma,1,1,3.0,1,44,44.0,14.66,18.0,0,0,2015
903,Gurinder Sandhu,3,2,8.0,1,82,82.0,10.25,48.0,0,0,2015
904,Shreyas Gopal,1,1,2.0,1,23,23.0,10.61,13.0,0,0,2015
905,Parveez Rasool,2,2,5.0,1,31,31.0,6.2,30.0,0,0,2015
906,Shardul Thakur,1,1,3.0,1,38,38.0,12.66,18.0,0,0,2015
907,Hardik Pandya,9,8,17.0,1,176,176.0,10.35,102.0,0,0,2015
908,Ishant Sharma,4,4,14.0,1,159,159.0,11.35,84.0,0,0,2015
909,Ronit More,2,2,6.0,1,59,59.0,10.11,35.0,0,0,2015
910,Rishi Dhawan,5,5,12.0,1,110,110.0,9.16,72.0,0,0,2015
911,Johan Botha,4,4,10.0,1,81,81.0,8.1,60.0,0,0,2015
912,Rahul Tewatia,1,1,3.0,1,31,31.0,10.33,18.0,0,0,2015
913,Juan Theron,1,1,4.0,1,40,40.0,10.0,24.0,0,0,2015
914,Karanveer Singh,4,4,14.0,1,157,157.0,11.21,84.0,0,0,2015
915,KC Cariappa,1,1,2.0,1,28,28.0,14.0,12.0,0,0,2015
916,Pat Cummins,3,3,10.0,1,97,97.0,9.7,60.0,0,0,2015
917,Mohit Sharma,16,16,54.0,23,452,19.65,8.39,14.04,1,0,2014
918,Sunil Narine,16,16,64.0,21,407,19.38,6.35,18.28,2,0,2014
919,Bhuvneshwar Kumar,14,14,53.0,20,354,17.7,6.65,15.95,1,0,2014
920,Ravindra Jadeja,16,16,54.0,19,443,23.31,8.15,17.15,2,0,2014
921,Sandeep Sharma,11,11,40.0,18,354,19.66,8.81,13.38,0,0,2014
922,Mitchell Johnson,14,14,53.0,17,444,26.11,8.29,18.88,0,0,2014
923,Axar Patel,17,17,66.0,17,405,23.82,6.13,23.29,0,0,2014
924,Lasith Malinga,10,10,39.0,16,253,15.81,6.45,14.68,1,0,2014
925,Varun Aaron,10,10,36.0,16,299,18.68,8.15,13.75,0,0,2014
926,Ravichandran Ashwin,16,16,60.0,16,437,27.31,7.3,22.43,0,0,2014
927,Karn Sharma,14,14,50.0,15,376,25.06,7.42,20.26,1,0,2014
928,Pravin Tambe,13,13,49.0,15,356,23.73,7.26,19.6,1,0,2014
929,Harbhajan Singh,14,14,55.0,14,356,25.42,6.47,23.57,0,0,2014
930,Piyush Chawla,11,11,39.0,14,303,21.64,7.67,16.92,0,0,2014
931,Mitchell Starc,14,14,53.0,14,402,28.71,7.49,23.0,0,0,2014
932,Rishi Dhawan,13,13,47.0,13,365,28.07,7.71,21.84,0,0,2014
933,Rajat Bhatia,12,12,38.0,12,283,23.58,7.44,19.0,0,0,2014
934,Morne Morkel,12,12,48.0,12,367,30.58,7.64,24.0,0,0,2014
935,Lakshmipathy Balaji,9,9,34.0,12,299,24.91,8.79,17.0,1,0,2014
936,Yuzvendra Chahal,14,14,55.0,12,386,32.16,7.01,27.5,0,0,2014
937,Shakib Al Hasan,13,13,50.0,11,334,30.36,6.68,27.27,0,0,2014
938,James Faulkner,13,13,43.0,11,419,38.09,9.74,23.45,0,0,2014
939,Dale Steyn,14,14,56.0,11,431,39.18,7.69,30.54,0,0,2014
940,Umesh Yadav,12,12,45.0,11,367,33.36,8.15,24.54,0,0,2014
941,Karanveer Singh,5,5,20.0,11,164,14.9,8.2,10.9,1,0,2014
942,Imran Tahir,6,6,21.0,9,171,19.0,8.2,13.88,0,0,2014
943,Jaydev Unadkat,9,9,31.0,9,270,30.0,8.66,20.77,0,0,2014
944,Kane Richardson,7,7,27.0,9,206,22.88,7.62,18.0,0,0,2014
945,Ashish Nehra,4,4,15.0,8,142,17.75,9.46,11.25,0,0,2014
946,Shahbaz Nadeem,11,11,38.0,8,311,38.87,8.18,28.5,0,0,2014
947,Ben Hilfenhaus,8,8,28.0,8,246,30.75,8.78,21.0,0,0,2014
948,Parvinder Awana,7,7,23.0,7,245,35.0,10.42,20.14,0,0,2014
949,Amit Mishra,10,10,37.0,7,340,48.57,9.06,32.14,0,0,2014
950,Mohammad Shami,12,12,44.0,7,369,52.71,8.38,37.71,0,0,2014
951,Vinay Kumar,9,9,32.0,7,281,40.14,8.78,27.42,0,0,2014
952,Shane Watson,13,9,21.0,7,165,23.57,7.85,18.0,0,0,2014
953,Shreyas Gopal,4,4,14.0,6,113,18.83,8.07,14.0,0,0,2014
954,Ishwar Pandey,13,12,42.0,6,318,53.0,7.57,42.0,0,0,2014
955,Wayne Parnell,8,8,30.0,6,223,37.16,7.39,30.16,0,0,2014
956,Dhawal Kulkarni,8,8,27.0,6,221,36.83,8.18,27.0,0,0,2014
957,Yuvraj Singh,14,10,22.0,5,187,37.4,8.25,27.2,1,0,2014
958,Zaheer Khan,6,6,22.0,5,146,29.2,6.53,26.8,0,0,2014
959,Jasprit Bumrah,11,11,39.0,5,301,60.2,7.58,47.6,0,0,2014
960,Ashok Dinda,9,9,31.0,5,270,54.0,8.7,37.2,0,0,2014
961,Albie Morkel,7,6,16.0,4,126,31.5,7.87,24.0,0,0,2014
962,Jacques Kallis,8,8,22.0,4,186,46.5,8.45,33.0,0,0,2014
963,Irfan Pathan,10,10,23.0,4,205,51.25,8.66,35.5,0,0,2014
964,Harshal Patel,3,3,11.0,4,113,28.25,10.27,16.5,0,0,2014
965,Dwayne Smith,16,5,10.0,4,95,23.75,9.5,15.0,0,0,2014
966,Corey Anderson,12,9,18.0,4,184,46.0,10.22,27.0,0,0,2014
967,Moises Henriques,4,4,10.0,4,96,24.0,9.6,15.0,0,0,2014
968,Kevon Cooper,5,5,18.0,4,134,33.5,7.44,27.0,0,0,2014
969,Beuran Hendricks,3,3,12.0,4,126,31.5,10.5,18.0,0,0,2014
970,Ankit Sharma,3,2,8.0,4,43,10.75,5.37,12.0,0,0,2014
971,Stuart Binny,13,8,9.0,3,64,21.33,7.11,18.0,0,0,2014
972,Darren Sammy,10,8,14.0,3,157,52.33,11.21,28.0,0,0,2014
973,Shivam Sharma,4,4,16.0,3,121,40.33,7.56,32.0,0,0,2014
974,Ishant Sharma,3,3,11.0,3,101,33.66,9.18,22.0,0,0,2014
975,Abu Nechim,4,4,14.0,3,113,37.66,7.88,28.66,0,0,2014
976,Praveen Kumar,3,3,12.0,3,78,26.0,6.5,24.0,0,0,2014
977,Muttiah Muralitharan,5,5,16.0,3,124,41.33,7.75,32.0,0,0,2014
978,JP Duminy,14,11,33.0,3,240,80.0,7.27,66.0,0,0,2014
979,Krishmar Santokie,2,2,8.0,3,90,30.0,11.25,16.0,0,0,2014
980,Siddarth Kaul,5,5,13.0,2,126,63.0,9.69,39.0,0,0,2014
981,Nathan Coulter-Nile,2,1,4.0,2,27,13.5,6.75,12.0,0,0,2014
982,David Hussey,5,1,3.0,2,38,19.0,13.41,8.5,0,0,2014
983,Samuel Badree,4,4,14.0,2,97,48.5,6.92,42.0,0,0,2014
984,Kieron Pollard,15,12,25.0,2,262,131.0,10.48,75.0,0,0,2014
