,Player,Mat,Inns,Ov,Wkts,Runs,Avg,Econ,SR,4w,5w,year
163,Harshit Rana,6,6,17.0,5,147,29.4,8.64,20.4,0,0,2023
164,Kumar Kartikeya Singh,8,8,26.0,5,227,45.4,8.73,31.2,0,0,2023
165,Vaibhav Arora,5,5,16.0,5,146,29.2,9.12,19.2,0,0,2023
166,Marcus Stoinis,15,5,10.5,5,100,20.0,9.23,13.0,0,0,2023
167,Akash Singh,6,6,19.0,5,188,37.6,9.89,22.8,0,0,2023
168,Umran Malik,8,8,20.0,5,217,43.4,10.85,24.0,0,0,2023
169,Arshad Khan,6,6,14.1,5,190,38.0,13.41,17.0,0,0,2023
170,Fazalhaq Farooqi,4,4,13.2,4,117,29.25,8.77,20.0,0,0,2023
171,Jason Holder,8,8,28.3,4,284,71.0,9.96,42.75,0,0,2023
172,Mitchell Santner,3,3,12.0,3,81,27.0,6.75,24.0,0,0,2023
173,David Willey,4,4,15.0,3,105,35.0,7.0,30.0,0,0,2023
174,Krishnappa Gowtham,7,6,16.0,3,118,39.33,7.37,32.0,0,0,2023
175,Anukul Roy,4,3,8.0,3,65,21.66,8.12,16.0,0,0,2023
176,Washington Sundar,7,7,17.4,3,146,48.66,8.26,35.33,0,0,2023
177,Josh Hazlewood,3,3,9.0,3,76,25.33,8.44,18.0,0,0,2023
178,Nitish Rana,14,6,8.5,3,75,25.0,8.49,17.66,0,0,2023
179,Yudhvir Singh,3,3,8.0,3,71,23.66,8.87,16.0,0,0,2023
180,Glenn Maxwell,14,7,10.2,3,94,31.33,9.09,20.66,0,0,2023
181,Hardik Pandya,16,11,25.0,3,228,76.0,9.12,50.0,0,0,2023
182,Arjun Tendulkar,4,4,9.5,3,92,30.66,9.35,19.66,0,0,2023
183,Hrithik Shokeen,8,8,19.0,3,187,62.33,9.84,38.0,0,0,2023
184,Asif K M,4,4,14.0,3,138,46.0,9.85,28.0,0,0,2023
185,Sikandar Raza,7,6,12.0,3,119,39.66,9.91,24.0,0,0,2023
186,Rajvardhan Hangargekar,2,2,6.0,3,60,20.0,10.0,12.0,0,0,2023
187,Mohsin Khan,5,4,10.0,3,107,35.66,10.7,20.0,0,0,2023
188,Chris Jordan,6,6,22.0,3,237,79.0,10.77,44.0,0,0,2023
189,Chetan Sakariya,2,2,8.0,3,89,29.66,11.12,16.0,0,0,2023
190,Navdeep Saini,2,2,6.0,3,74,24.66,12.33,12.0,0,0,2023
191,Adil Rashid,2,2,7.0,2,56,28.0,8.0,21.0,0,0,2023
192,Lalit Yadav,6,4,13.0,2,118,59.0,9.07,39.0,0,0,2023
193,Jofra Archer,5,5,20.0,2,190,95.0,9.5,60.0,0,0,2023
194,Kuldip Yadav,2,2,7.0,2,68,34.0,9.71,21.0,0,0,2023
195,Abhishek Sharma,11,5,12.0,2,124,62.0,10.33,36.0,0,0,2023
196,Yash Dayal,5,5,14.0,2,165,82.5,11.78,42.0,0,0,2023
197,Tim Southee,2,2,6.0,2,79,39.5,13.16,18.0,0,0,2023
198,Liam Livingstone,9,5,7.0,2,94,47.0,13.42,21.0,0,0,2023
199,Kulwant Khejroliya,2,2,4.2,2,64,32.0,14.76,13.0,0,0,2023
200,Praveen Dubey,1,1,3.0,1,19,19.0,6.33,18.0,0,0,2023
201,Glenn Phillips,5,2,3.0,1,20,20.0,6.66,18.0,0,0,2023
202,Reece Topley,1,1,2.0,1,14,14.0,7.0,12.0,0,0,2023
203,Tristan Stubbs,2,1,2.0,1,14,14.0,7.0,12.0,0,0,2023
204,Mayank Dagar,3,3,11.0,1,83,83.0,7.54,66.0,0,0,2023
205,Sisanda Magala,2,2,6.0,1,51,51.0,8.5,36.0,0,0,2023
206,Aiden Markram,13,6,8.1,1,70,70.0,8.57,49.0,0,0,2023
207,Rishi Dhawan,6,4,7.0,1,60,60.0,8.57,42.0,0,0,2023
208,Rovman Powell,3,1,2.0,1,18,18.0,9.0,12.0,0,0,2023
209,Umesh Yadav,8,8,19.0,1,189,189.0,9.94,114.0,0,0,2023
210,Akeal Hosein,1,1,4.0,1,40,40.0,10.0,24.0,0,0,2023
211,Darshan Nalkande,1,1,4.0,1,44,44.0,11.0,24.0,0,0,2023
212,Mustafizur Rahman,2,2,7.0,1,79,79.0,11.28,42.0,0,0,2023
213,Akash Deep,2,2,5.0,1,59,59.0,11.8,30.0,0,0,2023
214,Lockie Ferguson,3,3,7.4,1,96,96.0,12.52,46.0,0,0,2023
215,Duan Jansen,1,1,4.0,1,53,53.0,13.25,24.0,0,0,2023
216,Shahbaz Ahmed,10,5,7.0,1,95,95.0,13.57,42.0,0,0,2023
217,Kartik Tyagi,3,3,6.1,1,92,92.0,14.91,37.0,0,0,2023
218,Yuzvendra Chahal,17,17,68.0,27,527,19.51,7.75,15.11,1,1,2022
219,Wanindu Hasaranga,16,16,57.0,26,430,16.53,7.54,13.15,1,1,2022
220,Kagiso Rabada,13,13,48.0,23,406,17.65,8.45,12.52,2,0,2022
221,Umran Malik,14,14,49.1,22,444,20.18,9.03,13.4,1,1,2022
222,Kuldeep Yadav,14,14,49.4,21,419,19.95,8.43,14.19,2,0,2022
223,Mohammad Shami,16,16,61.0,20,488,24.4,8.0,18.3,0,0,2022
224,Josh Hazlewood,12,12,46.3,20,377,18.85,8.1,13.95,1,0,2022
225,Rashid Khan,16,16,63.5,19,421,22.15,6.59,20.15,1,0,2022
226,Harshal Patel,15,15,53.3,19,410,21.57,7.66,16.89,1,0,2022
227,Prasidh Krishna,17,17,66.3,19,551,29.0,8.28,21.0,0,0,2022
228,Avesh Khan,13,13,47.4,18,416,23.11,8.72,15.88,1,0,2022
229,T Natarajan,11,11,43.0,18,406,22.55,9.44,14.33,0,0,2022
230,Andre Russell,14,13,28.1,17,278,16.35,9.86,9.94,1,0,2022
231,Umesh Yadav,12,12,48.0,16,339,21.18,7.06,18.0,1,0,2022
232,Trent Boult,16,16,62.0,16,492,30.75,7.93,23.25,0,0,2022
233,Khaleel Ahmed,10,10,39.1,16,315,19.68,8.04,14.68,0,0,2022
234,Dwayne Bravo,10,10,34.2,16,299,18.68,8.7,12.87,0,0,2022
235,Mukesh Choudhary,13,13,45.3,16,424,26.5,9.31,17.06,1,0,2022
236,Jasprit Bumrah,14,14,53.2,15,383,25.53,7.18,21.33,0,1,2022
237,Shardul Thakur,14,14,48.2,15,473,31.53,9.78,19.33,1,0,2022
238,Mohsin Khan,9,9,33.0,14,197,14.07,5.96,14.14,1,0,2022
239,Rahul Chahar,13,13,46.4,14,360,25.71,7.71,20.0,0,0,2022
240,Tim Southee,9,9,35.0,14,275,19.64,7.85,15.0,0,0,2022
241,Jason Holder,12,12,41.3,14,391,27.92,9.42,17.78,0,0,2022
242,Ravi Bishnoi,14,14,54.0,13,456,35.07,8.44,24.92,0,0,2022
243,Daniel Sams,11,11,42.0,13,370,28.46,8.8,19.38,1,0,2022
244,Bhuvneshwar Kumar,14,14,52.1,12,383,31.91,7.34,26.08,0,0,2022
245,Maheesh Theekshana,9,9,35.0,12,261,21.75,7.45,17.5,1,0,2022
246,Ravichandran Ashwin,17,17,67.0,12,503,41.91,7.5,33.5,0,0,2022
247,Lockie Ferguson,13,13,47.4,12,427,35.58,8.95,23.83,1,0,2022
248,Obed McCoy,7,7,25.5,11,237,21.54,9.17,14.09,0,0,2022
249,Yash Dayal,9,9,32.0,11,296,26.9,9.25,17.45,0,0,2022
250,Krunal Pandya,14,12,38.0,10,265,26.5,6.97,22.8,0,0,2022
251,Arshdeep Singh,14,14,50.0,10,385,38.5,7.7,30.0,0,0,2022
252,Sunil Narine,14,14,56.0,9,312,34.66,5.57,37.33,0,0,2022
253,Murugan Ashwin,8,8,29.0,9,228,25.33,7.86,19.33,0,0,2022
254,Dushmantha Chameera,12,12,44.0,9,384,42.66,8.72,29.33,0,0,2022
255,Anrich Nortje,6,6,22.2,9,217,24.11,9.71,14.88,0,0,2022
256,Mohammed Siraj,15,15,51.0,9,514,57.11,10.07,34.0,0,0,2022
257,Moeen Ali,10,10,23.5,8,158,19.75,6.62,17.87,0,0,2022
258,Hardik Pandya,15,10,30.3,8,222,27.75,7.27,22.87,0,0,2022
259,Mustafizur Rahman,8,8,32.0,8,244,30.5,7.62,24.0,0,0,2022
260,Riley Meredith,8,8,28.0,8,236,29.5,8.42,21.0,0,0,2022
261,Kuldeep Sen,7,7,25.1,8,237,29.62,9.41,18.87,1,0,2022
262,Jagadeesha Suchith,5,5,18.0,7,140,20.0,7.77,15.42,0,0,2022
