,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons
0,AB de Villiers,169,157,36,4697,90,37.075384615384614,3048,147.28538461538463,2,37,374,239,2021,13
1,Aakash Chopra,7,6,0,53,24,9.7,71,69.325,0,0,7,0,2009,2
2,Aaron Finch,92,90,7,2091,88,22.634545454545453,1631,119.69272727272728,0,15,214,78,2022,11
3,Abdul Basith,1,1,1,1,1,0.0,1,100.0,0,0,0,0,2023,1
4,Abdul Samad,50,40,10,577,4,19.396,395,131.204,0,0,37,36,2024,5
5,Abdur Razzak,1,1,1,0,0,0.0,2,0.0,0,0,0,0,2008,1
6,Abhijeet Tomar,1,1,0,4,4,4.0,8,50.0,0,0,1,0,2022,1
7,Abhimanyu Mithun,14,8,3,34,5,5.333333333333333,26,120.0,0,0,4,1,2013,3
8,Abhinav Manohar,19,15,1,231,8,13.833333333333334,174,112.53000000000002,0,0,21,10,2024,3
9,Abhinav Mukund,3,2,0,19,19,9.5,22,45.235,0,0,1,0,2013,2
10,Abhishek Jhunjhunwala,21,16,3,217,53,12.443333333333333,210,86.02999999999999,0,1,19,5,2012,3
11,Abhishek Nayar,60,50,12,672,45,17.89,577,107.81714285714285,0,0,55,20,2014,7
12,Abhishek Raut,22,16,7,194,36,22.5,167,115.98666666666666,0,0,13,7,2011,3
13,Abhishek Sharma,63,61,7,1377,75,25.897142857142857,887,147.08714285714288,0,7,128,73,2024,7
14,Abishek Porel,18,16,2,360,65,20.475,236,132.98,0,2,37,15,2024,2
15,Abu Nechim,7,4,3,14,5,5.0,6,300.0,0,0,3,0,2015,2
16,Adam Gilchrist,80,80,4,2069,85,28.12833333333333,1495,137.34833333333333,2,11,239,92,2013,6
17,Adam Milne,8,6,2,23,5,5.75,29,76.22,0,0,0,1,2021,2
18,Adam Voges,9,7,3,181,45,45.25,143,126.57,0,0,15,3,2010,1
19,Adam Zampa,17,5,0,15,7,2.776666666666667,24,44.64000000000001,0,0,1,0,2023,3
20,Adil Rashid,2,2,0,22,18,11.0,16,137.5,0,0,2,1,2023,1
21,Aditya Dole,3,2,0,34,30,17.0,22,154.54,0,0,3,1,2010,1
22,Aditya Tare,35,28,4,339,8,11.641666666666666,273,104.63499999999999,0,1,40,11,2017,6
23,Adrian Barath,3,3,1,42,33,21.0,42,100.0,0,0,5,1,2010,1
24,Aiden Blizzard,6,6,0,120,51,20.0,87,137.93,0,1,21,2,2011,1
25,Aiden Markram,44,42,9,995,68,30.955000000000002,767,127.97500000000001,0,5,73,35,2024,4
26,Ajantha Mendis,9,3,1,3,2,0.6666666666666666,6,50.0,0,0,0,0,2013,3
27,Ajinkya Rahane,185,171,17,4642,91,26.39875,3761,115.786875,2,30,478,103,2024,16
28,Ajit Agarkar,38,21,11,179,9,20.56,154,112.55199999999999,0,0,13,5,2013,5
29,Ajit Chandila,8,1,1,4,4,0.0,6,66.66,0,0,0,0,2013,1
30,Akash Deep,3,2,1,19,2,8.5,10,156.25,0,0,2,1,2024,2
31,Akash Madhwal,5,1,1,4,4,0.0,5,80.0,0,0,0,0,2024,1
32,Akeal Hosein,1,1,1,16,16,0.0,10,160.0,0,0,1,1,2023,1
33,Akila Dananjaya,1,1,1,4,4,0.0,5,80.0,0,0,0,0,2018,1
34,Akshath Reddy,12,10,0,164,42,18.665,160,106.905,0,0,15,2,2013,2
35,Akshdeep Nath,14,10,0,90,9,6.965,98,62.5775,0,0,7,2,2019,4
36,Albie Morkel,91,68,28,974,73,28.225555555555555,686,141.59333333333333,0,3,61,55,2016,9
37,Alex Carey,3,3,1,32,14,16.0,29,110.34,0,0,0,1,2020,1
38,Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6,2018,1
39,Alfonso Thomas,4,2,0,19,12,9.5,15,126.66,0,0,1,1,2012,1
40,Ali Murtaza,9,3,2,10,5,1.6666666666666667,14,75.0,0,0,1,0,2013,3
41,Alzarri Joseph,19,7,6,27,7,1.6666666666666667,32,81.71,0,0,3,0,2023,3
42,Aman Khan,12,10,1,115,51,9.375,104,137.785,0,1,8,6,2023,2
43,Ambati Rayudu,204,187,33,4348,81,28.050714285714285,3409,128.28571428571428,1,22,359,173,2023,14
44,Amit Mishra,154,57,25,381,8,12.03076923076923,419,81.03538461538461,0,0,31,5,2023,13
45,Amit Paunikar,4,4,0,49,20,12.25,57,85.96,0,0,9,0,2011,1
46,Amit Singh,14,4,1,2,1,0.75,7,29.165,0,0,0,0,2011,2
47,Amit Uniyal,2,2,1,4,4,4.0,7,57.14,0,0,0,0,2010,1
48,Andre Russell,127,105,20,2484,88,25.596666666666664,1420,152.80416666666665,0,11,170,209,2024,12
49,Andrew Flintoff,3,3,1,62,24,31.0,53,116.98,0,0,5,2,2009,1
50,Andrew McDonald,9,7,4,120,8,10.5,94,124.52,0,0,9,4,2012,3
51,Andrew Symonds,39,36,9,974,60,45.115,750,131.7375,1,5,74,41,2011,4
52,Andrew Tye,27,13,4,91,6,9.4575,76,90.2175,0,0,6,5,2020,4
53,Angelo Mathews,49,42,11,724,65,21.426666666666666,575,124.66666666666667,0,1,44,29,2017,6
54,Angkrish Raghuvanshi,10,7,0,163,54,23.29,105,155.23,0,1,16,8,2024,1
55,Aniket Choudhary,5,3,2,25,15,25.0,20,125.0,0,0,1,1,2017,1
56,Anil Kumble,42,17,14,35,8,7.5,47,71.74,0,0,3,0,2010,3
57,Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1,2010,1
58,Ankeet Chavan,10,3,1,12,7,6.0,11,85.41499999999999,0,0,2,0,2012,2
59,Ankit Bawne,1,1,1,12,12,0.0,12,100.0,0,0,1,0,2017,1
60,Ankit Rajpoot,19,6,1,24,8,5.553333333333334,35,69.41666666666667,0,0,2,1,2020,3
61,Ankit Sharma,20,10,3,87,7,11.0,67,127.022,0,0,7,4,2017,5
62,Ankit Soni,7,3,1,7,7,3.5,9,77.77,0,0,0,1,2017,1
63,Anmolpreet Singh,9,9,0,139,8,12.8125,115,106.4125,0,0,19,3,2024,4
64,Anrich Nortje,38,15,9,49,4,5.3325,49,77.725,0,0,6,0,2024,4
65,Anshul Kamboj,3,1,1,2,2,0.0,2,100.0,0,0,0,0,2024,1
66,Anuj Rawat,24,21,5,318,66,17.74,267,91.1875,0,1,26,14,2024,4
67,Anukul Roy,8,5,3,26,3,5.75,22,110.525,0,0,3,0,2024,2
68,Anureet Singh,18,8,4,36,3,7.0,47,86.02,0,0,2,1,2018,3
69,Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2,2012,1
70,Arindam Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,0,2009,1
71,Arjun Tendulkar,4,1,0,13,13,13.0,9,144.44,0,0,0,1,2023,1
72,Arjun Yadav,8,6,1,49,16,9.8,39,125.64,0,0,5,2,2008,1
73,Arshad Khan,10,7,3,101,58,25.25,69,136.85,0,1,6,6,2024,2
74,Arshdeep Singh,62,12,7,29,4,2.2,40,74.47999999999999,0,0,4,0,2024,5
75,Arshin Atul Kulkarni,2,2,0,9,9,4.5,8,112.5,0,0,2,0,2024,1
76,Arun Karthik,16,8,3,51,6,5.72,51,85.13,0,0,4,1,2013,3
77,Asad Pathan,8,7,2,39,4,7.125,23,145.98,0,0,5,2,2012,2
78,Ashish Nehra,55,14,11,39,9,5.4,53,68.80199999999999,0,0,3,1,2016,5
79,Ashish Reddy,31,24,9,280,36,19.3525,193,145.4675,0,0,16,15,2016,4
80,Ashley Noffke,1,1,0,9,9,9.0,10,90.0,0,0,1,0,2008,1
81,Ashok Dinda,54,15,7,26,7,3.4166666666666665,42,61.96666666666667,0,0,2,0,2017,6
82,Ashok Menaria,28,22,2,400,40,20.0,354,113.66499999999999,0,0,24,18,2012,2
83,Ashton Turner,6,6,1,24,3,5.75,28,73.33,0,0,0,2,2024,2
84,Ashutosh Sharma,11,9,2,189,61,27.0,113,167.25,0,1,10,15,2024,1
85,Atharva Taide,9,9,0,247,66,28.535,168,150.29500000000002,0,2,27,8,2024,2
86,Avesh Khan,46,9,8,41,7,5.5,24,167.305,0,0,3,3,2024,4
87,Axar Patel,150,113,36,1653,66,21.35363636363636,1263,126.71454545454547,0,3,107,79,2024,11
88,Ayush Badoni,42,35,9,634,59,24.436666666666667,473,133.21,0,4,46,24,2024,3
89,Azhar Bilakhia,7,7,2,69,22,9.375,85,66.35499999999999,0,0,5,0,2010,2
90,Azhar Mahmood,23,21,2,388,80,16.283333333333335,303,114.65333333333332,0,2,39,13,2015,3
91,Azmatullah Omarzai,7,4,0,42,17,10.5,33,127.27,0,0,2,2,2024,1
92,B Indrajith,3,3,0,21,15,7.0,30,70.0,0,0,2,0,2022,1
93,B R Sharath,1,1,0,2,2,2.0,5,40.0,0,0,0,0,2024,1
94,Balachandra Akhil,14,11,5,76,9,12.276666666666666,55,135.38333333333333,0,0,5,5,2011,3
95,Barinder Sran,22,9,8,10,3,1.0,14,80.95,0,0,0,0,2019,3
96,Basil Thampi,19,8,7,32,3,1.0,35,83.33333333333333,0,0,1,1,2019,3
97,Ben Cutting,21,17,6,238,8,19.8,141,158.408,0,0,15,19,2019,5
98,Ben Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0,2014,1
99,Ben Laughlin,9,4,2,5,4,2.5,13,34.72,0,0,0,0,2018,2
100,Ben Rohrer,8,8,2,193,64,32.16,140,137.85,0,1,21,5,2013,1
101,Ben Stokes,45,44,6,935,8,19.44,698,106.43166666666666,2,2,81,32,2023,6
102,Beuran Hendricks,7,3,2,1,1,0.0,3,25.0,0,0,0,0,2015,2
103,Bhanuka Rajapaksa,13,13,1,277,50,23.28,191,137.095,0,1,22,15,2023,2
104,Bharat Chipli,23,21,6,280,61,15.215,251,96.9425,0,1,28,7,2013,4
105,Bhargav Bhatt,5,1,1,6,6,0.0,2,300.0,0,0,0,1,2012,1
106,Bhuvneshwar Kumar,172,67,32,305,8,9.544615384615385,325,88.1676923076923,0,0,30,3,2024,13
107,Billy Stanlake,4,1,1,5,5,0.0,2,250.0,0,0,1,0,2018,1
108,Biplap Samantray,8,7,2,123,55,24.6,111,110.81,0,1,13,2,2013,1
109,Bipul Sharma,32,17,9,187,8,17.416666666666668,123,132.115,0,0,11,9,2017,6
110,Bodapati Sumanth,5,4,3,35,16,35.0,37,94.59,0,0,3,0,2010,1
111,Brad Haddin,1,1,0,18,18,18.0,11,163.63,0,0,2,1,2011,1
112,Brad Hodge,66,63,21,1400,73,30.150000000000002,1118,119.10714285714286,0,6,122,43,2014,7
113,Brad Hogg,15,5,2,22,5,7.25,22,105.205,0,0,1,0,2015,2
114,Brendon McCullum,109,109,5,2880,84,28.128181818181815,2186,131.6909090909091,2,13,293,130,2018,11
115,Brett Lee,38,19,9,124,7,14.276666666666666,97,129.31333333333333,0,0,8,8,2013,6
116,Callum Ferguson,9,8,2,98,23,18.25,117,84.12,0,0,9,0,2012,2
117,Cameron Green,29,28,11,707,46,41.05,460,151.765,1,2,62,32,2024,2
118,Cameron White,47,45,9,954,78,25.445999999999998,755,122.34400000000001,0,6,76,36,2013,5
119,Carlos Brathwaite,16,14,1,181,6,12.5825,111,141.1675,0,0,10,16,2019,4
120,Chamara Kapugedera,5,3,0,16,8,5.33,23,69.56,0,0,0,0,2008,1
121,Chaminda Vaas,13,11,3,81,20,14.833333333333334,73,115.91333333333334,0,0,2,3,2010,3
122,Chandan Madan,1,1,0,15,15,15.0,19,78.94,0,0,3,0,2010,1
123,Charl Langeveldt,3,1,0,8,8,8.0,8,100.0,0,0,0,1,2011,1
124,Chetan Sakariya,16,8,2,20,7,3.6,31,65.33,0,0,3,0,2023,2
125,Chetanya Nanda,3,1,0,0,0,0.0,1,0.0,0,0,0,0,2009,1
126,Cheteshwar Pujara,30,22,3,390,51,19.098000000000003,391,97.348,0,1,50,4,2014,5
127,Chidhambaram Gautam,13,13,3,169,4,14.426666666666668,150,106.13666666666666,0,0,17,6,2015,3
128,Chris Gayle,142,141,16,4965,99,38.496923076923075,3333,143.73076923076923,6,31,405,357,2021,13
129,Chris Jordan,33,13,3,81,6,7.109999999999999,77,84.73666666666666,0,0,3,3,2023,6
130,Chris Lynn,42,42,3,1329,93,31.72,945,127.07285714285715,0,10,132,66,2021,7
131,Chris Morris,81,51,23,618,82,26.75375,398,144.68125,0,2,41,35,2021,8
132,Chris Woakes,21,12,6,78,18,6.666666666666667,77,107.90000000000002,0,0,7,2,2021,3
133,Clint McKay,2,1,0,8,8,8.0,15,53.33,0,0,0,0,2012,1
134,Colin Ingram,15,15,3,205,47,14.45,180,100.12,0,0,22,5,2019,2
135,Colin Munro,13,12,0,177,40,14.533333333333333,141,124.55,0,0,19,8,2019,3
136,Colin de Grandhomme,25,21,5,303,40,19.093333333333334,225,128.92333333333332,0,0,18,18,2019,3
137,Corey Anderson,30,29,7,538,95,23.345,423,114.1575,0,3,40,31,2018,4
138,D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5,2018,1
139,Dale Steyn,93,36,14,167,8,7.287999999999999,160,79.546,0,0,14,3,2020,10
140,Damien Martyn,1,1,0,19,19,19.0,24,79.16,0,0,1,0,2010,1
141,Dan Christian,49,41,10,460,9,13.4,398,96.78333333333332,0,0,23,19,2021,6
142,Daniel Harris,4,4,0,111,47,27.75,101,109.9,0,0,11,5,2012,1
143,Daniel Sams,16,13,4,44,3,3.81,44,68.51666666666667,0,0,1,3,2022,3
144,Daniel Vettori,25,13,7,87,20,21.25,81,107.86333333333334,0,0,8,2,2012,3
145,Darren Bravo,1,1,1,6,6,0.0,5,120.0,0,0,1,0,2017,1
146,Darren Lehmann,2,2,0,18,17,9.0,18,100.0,0,0,3,0,2008,1
147,Darren Sammy,22,20,5,295,7,16.973333333333333,241,107.57000000000001,0,1,15,18,2015,3
148,Darshan Nalkande,3,1,0,12,12,12.0,11,109.09,0,0,0,1,2024,1
149,Daryl Mitchell,15,15,2,351,63,22.705,267,108.8,0,2,28,10,2024,2
150,Dasun Shanaka,3,3,1,26,17,13.0,26,100.0,0,0,2,1,2023,1
151,David Hussey,64,61,12,1322,71,28.88,1075,123.68714285714285,0,5,90,60,2014,7
152,David Miller,129,123,43,2924,94,36.47416666666667,2100,133.3125,1,13,207,134,2024,12
153,David Warner,177,177,22,6402,93,40.70428571428572,4565,139.24357142857144,4,61,647,231,2024,14
154,David Wiese,18,11,6,148,5,17.166666666666668,101,152.58666666666667,0,0,12,7,2023,3
155,David Willey,8,5,3,53,20,4.5,62,84.685,0,0,7,0,2023,2
156,Davy Jacobs,6,6,0,92,32,15.33,88,104.54,0,0,10,4,2011,1
157,Dawid Malan,1,1,0,26,26,26.0,26,100.0,0,0,1,1,2021,1
158,Debabrata Das,31,22,8,304,35,24.72,261,115.46666666666665,0,0,23,16,2013,3
159,Deepak Chahar,71,13,6,80,7,6.859999999999999,59,115.30666666666667,0,0,2,6,2023,6
160,Deepak Hooda,118,96,16,1465,64,26.044,1131,127.73299999999999,0,8,96,61,2024,10
161,Devdutt Padikkal,64,64,2,1559,74,23.358,1266,115.032,1,9,169,42,2024,5
162,Devon Conway,23,22,3,924,92,46.845,654,142.68,0,9,99,30,2023,2
163,Devraj Patil,2,2,0,13,9,6.5,13,100.0,0,0,1,0,2008,1
164,Dewald Brevis,10,10,0,230,49,23.0,172,129.70499999999998,0,0,17,16,2024,2
165,Dhawal Kulkarni,84,22,13,100,7,2.4545454545454546,107,99.77272727272727,0,0,6,2,2020,11
166,Dhruv Jurel,28,22,7,347,56,23.045,229,155.505,0,2,29,16,2024,2
167,Dhruv Shorey,2,2,0,13,8,6.5,17,75.69,0,0,0,1,2019,2
168,Dilhara Fernando,10,2,2,4,2,0.0,3,150.0,0,0,0,0,2010,2
169,Dillon du Preez,2,1,0,10,10,10.0,13,76.92,0,0,0,0,2009,1
170,Dimitri Mascarenhas,13,11,2,79,9,7.081999999999999,78,104.0,0,0,5,1,2013,5
171,Dinesh Karthik,242,221,45,4554,97,27.273125,3360,136.571875,0,21,446,152,2024,16
172,Dinesh Salunkhe,6,3,1,33,26,16.5,24,137.5,0,0,5,0,2008,1
173,Dirk Nannes,9,2,1,4,3,4.0,13,30.76,0,0,0,0,2010,1
174,Dishant Yagnik,25,17,7,170,4,14.155,137,115.47,0,0,23,2,2014,4
175,Doddapaneni Kalyankrishna,3,1,0,3,3,3.0,8,37.5,0,0,0,0,2008,1
176,Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2,2008,1
177,Domnic Joseph,6,2,1,1,1,1.0,3,33.33,0,0,0,0,2015,1
178,Donovan Ferreira,2,2,0,8,7,4.0,11,72.72,0,0,0,0,2024,1
179,Doug Bollinger,14,3,2,21,3,1.5,22,82.94,0,0,1,1,2012,2
180,Doug Bracewell,1,1,1,12,12,0.0,9,133.33,0,0,1,0,2012,1
181,Dushmantha Chameera,12,8,4,43,17,10.75,28,153.57,0,0,3,3,2022,1
182,Dwaine Pretorius,6,5,1,44,22,11.0,28,157.14,0,0,3,3,2022,1
183,Dwaraka Ravi Teja,32,25,6,375,60,16.392000000000003,317,107.04,0,1,35,9,2013,5
184,Dwayne Bravo,161,113,44,1560,8,20.384999999999998,1204,147.3,0,5,120,66,2022,14
185,Dwayne Smith,91,89,5,2385,87,26.193333333333335,1764,133.45555555555555,0,17,245,117,2017,9
186,Eklavya Dwivedi,4,2,0,24,19,12.0,14,171.42,0,0,2,2,2016,1
187,Eoin Morgan,83,75,13,1405,68,21.485,1146,117.695,0,5,112,64,2021,8
188,Evin Lewis,27,26,2,654,65,24.9775,477,130.85250000000002,0,4,62,36,2022,4
189,Fabian Allen,5,4,2,14,8,7.0,19,82.14,0,0,1,0,2022,2
190,Faf Du Plessis,45,45,2,1636,96,38.85,1113,147.60666666666665,0,15,156,70,2024,3
191,Faf du Plessis,100,93,9,2935,96,31.853333333333335,2239,128.24222222222224,0,22,265,96,2021,9
192,Faiz Fazal,12,11,1,183,45,15.0,173,103.245,0,0,22,1,2011,2
193,Farhaan Behardien,3,3,1,14,9,7.0,13,107.69,0,0,2,0,2016,1
194,Fazalhaq Farooqi,7,2,2,3,2,0.0,13,22.5,0,0,0,0,2023,2
195,Gautam Gambhir,139,137,15,3931,93,31.540999999999997,3126,122.81300000000002,0,35,459,57,2018,10
196,George Bailey,40,37,10,663,61,22.718,544,107.86399999999999,0,2,59,19,2016,5
197,George Garton,5,3,2,2,2,2.0,4,50.0,0,0,0,0,2021,1
198,Gerald Coetzee,10,5,1,14,8,3.5,22,63.63,0,0,0,1,2024,1
199,Glenn Maxwell,134,129,17,2771,95,21.77333333333333,1768,140.24416666666667,0,18,232,160,2024,12
200,Glenn McGrath,14,3,2,4,4,4.0,5,80.0,0,0,1,0,2008,1
201,Glenn Phillips,8,8,1,65,25,10.4,55,128.025,0,0,3,6,2023,2
202,Graeme Smith,29,29,3,739,91,25.1925,668,103.7825,0,4,94,9,2011,4
203,Graham Napier,1,1,0,15,15,15.0,16,93.75,0,0,1,0,2009,1
204,Gulbadin Naib,2,1,0,19,19,19.0,15,126.66,0,0,1,1,2024,1
205,Gurkeerat Mann Singh,39,32,8,511,65,17.403333333333332,422,121.49000000000001,0,2,55,11,2020,6
206,Halhadar Das,1,1,0,2,2,2.0,5,40.0,0,0,0,0,2008,1
207,Hanuma Vihari,24,23,3,284,46,9.653333333333334,321,82.70333333333333,0,0,23,1,2019,3
208,Harbhajan Singh,163,90,37,833,7,14.541538461538462,604,124.93769230769232,0,1,79,42,2021,13
209,Hardik Pandya,137,128,40,2525,91,28.088,1734,143.48999999999998,0,10,189,136,2024,10
210,Hardus Viljoen,6,3,1,3,2,1.5,7,42.85,0,0,0,0,2019,1
211,Harmeet Singh Bansal,10,3,1,18,3,9.0,11,144.64,0,0,3,0,2013,2
212,Harpreet Bhatia,5,5,0,104,41,19.585,93,104.955,0,0,10,3,2024,2
213,Harpreet Brar,40,24,13,233,29,10.7,190,126.14000000000001,0,0,19,9,2024,5
214,Harpreet Singh,3,3,1,20,6,10.0,26,85.0,0,0,0,0,2012,2
215,Harry Brook,11,11,2,190,100,21.11,154,123.37,1,0,23,4,2023,1
216,Harry Gurney,8,1,1,1,1,0.0,5,20.0,0,0,0,0,2019,1
217,Harshal Patel,99,41,14,249,9,11.898,203,112.02799999999999,0,0,16,15,2024,10
218,Harshit Rana,2,2,1,2,2,2.0,2,100.0,0,0,0,0,2022,1
219,Hashim Amla,16,16,3,577,96,43.08,407,138.88,2,3,60,21,2017,2
220,Heinrich Klaasen,35,32,6,993,80,28.3,590,139.8525,1,6,56,64,2024,4
221,Herschelle Gibbs,36,36,4,886,69,29.8675,807,106.72,0,6,83,31,2012,4
222,Hrithik Shokeen,13,6,3,66,25,22.25,65,112.435,0,0,9,0,2023,2
223,Imran Tahir,41,8,4,33,5,2.3333333333333335,37,77.45833333333333,0,0,5,0,2020,6
224,Iqbal Abdulla,36,10,8,86,6,1.6666666666666667,80,91.95,0,0,9,1,2017,6
225,Irfan Pathan,103,82,29,1139,7,18.97,946,108.91888888888889,0,1,87,37,2017,9
226,Ish Sodhi,8,2,0,7,6,3.5,17,35.6,0,0,0,0,2019,2
227,Ishan Kishan,104,99,6,2644,99,27.246666666666666,1946,130.96444444444444,0,16,255,119,2024,9
228,Ishan Malhotra,1,1,1,7,7,0.0,4,175.0,0,0,1,0,2011,1
229,Ishank Jaggi,7,7,2,76,28,18.166666666666668,97,77.23333333333333,0,0,6,0,2017,3
230,Ishant Sharma,79,25,19,57,9,3.625,69,106.57874999999999,0,0,4,2,2024,8
231,Isuru Udana,10,4,1,15,10,5.0,11,136.36,0,0,1,1,2020,1
232,JM Kemp,5,2,0,26,22,13.0,24,108.33,0,0,1,1,2010,1
233,JP Duminy,83,77,26,2029,78,42.67625,1636,119.85,0,14,126,79,2018,8
234,Jacob Oram,15,11,4,106,41,16.33,105,122.31,0,0,6,5,2009,2
235,Jacques Kallis,98,96,11,2427,89,28.61285714285714,2222,109.36428571428571,0,17,255,44,2014,7
236,Jagadeesan Narayan,8,8,1,129,39,27.415,118,108.985,0,0,17,2,2023,2
237,Jagadeesh Arunkumar,3,3,0,23,22,7.66,23,100.0,0,0,5,0,2008,1
238,Jagadeesha Suchith,21,10,6,70,6,13.75,61,112.08250000000001,0,0,6,3,2022,4
239,Jake Fraser - McGurk,9,9,0,330,84,36.67,141,234.04,0,4,32,28,2024,1
240,James Faulkner,59,45,20,527,46,21.301666666666666,389,126.26333333333334,0,0,36,23,2017,6
241,James Franklin,20,16,5,327,79,38.97,301,117.91,0,1,25,8,2012,2
242,James Hopes,21,19,3,417,71,29.645000000000003,306,136.685,0,4,49,11,2011,2
243,James Neesham,2,2,0,31,17,15.5,27,114.81,0,0,3,0,2022,1
244,James Pattinson,10,2,1,15,11,15.0,13,115.38,0,0,2,0,2020,1
245,Jaskaran Singh,6,4,3,8,4,8.0,11,72.72,0,0,0,0,2010,1
246,Jason Behrendorff,12,2,2,6,3,0.0,9,66.66,0,0,0,0,2023,1
247,Jason Holder,40,27,6,259,47,14.055,211,122.09666666666668,0,0,13,18,2023,6
248,Jason Roy,21,21,2,614,91,31.2825,443,137.675,0,4,75,21,2023,4
249,Jasprit Bumrah,113,24,19,68,8,5.25,70,86.38125,0,0,5,1,2024,8
250,Javon Searles,4,2,1,8,6,8.0,6,133.33,0,0,0,1,2018,1
251,Jayant Yadav,10,5,1,40,5,10.0,36,95.38,0,0,2,1,2021,2
252,Jaydev Unadkat,79,30,14,195,9,8.935555555555556,164,89.98333333333333,0,0,16,7,2024,9
253,Jeevan Mendis,3,3,0,23,12,7.66,27,85.18,0,0,0,0,2013,1
254,Jesse Ryder,29,29,1,604,86,19.753333333333334,458,127.75,0,4,69,19,2012,3
255,Jhye Richardson,4,3,0,17,2,4.75,26,81.25,0,0,2,0,2024,2
256,Jimmy Neesham,12,8,1,61,22,7.833333333333333,66,65.61666666666666,0,0,3,2,2021,3
257,Jitesh Sharma,40,36,4,730,49,23.34,483,150.46,0,0,53,45,2024,3
258,Joe Denly,1,1,0,0,0,0.0,1,0.0,0,0,0,0,2019,1
259,Joe Root,3,1,0,10,10,10.0,15,66.66,0,0,1,0,2023,1
260,Jofra Archer,40,25,12,199,8,13.8325,128,129.57,0,0,11,14,2023,4
261,Joginder Sharma,12,5,2,36,16,14.0,29,128.28,0,0,1,2,2009,2
262,Johan Botha,34,28,8,409,67,20.298000000000002,359,126.082,0,1,39,5,2015,5
263,Johan van der Wath,3,3,1,18,14,9.0,16,112.5,0,0,1,1,2011,1
264,Jonny Bairstow,50,50,4,1589,97,36.221999999999994,1100,144.63400000000001,2,9,166,69,2024,5
265,Jos Buttler,107,106,12,3582,95,37.61666666666667,2428,147.28,7,19,355,161,2024,9
266,Josh Hazlewood,15,6,6,19,7,0.0,28,59.615,0,0,1,0,2023,2
267,Josh Philippe,5,5,1,78,33,19.5,77,101.29,0,0,9,1,2020,1
268,Juan Theron,10,4,2,10,7,0.3333333333333333,12,85.55333333333333,0,0,1,0,2015,3
269,K L Rahul,38,38,4,1410,82,40.906666666666666,1079,128.24,2,10,118,53,2024,3
270,K.S Bharat,8,7,2,191,78,38.2,156,122.43,0,1,10,8,2021,1
271,KC Cariappa,10,5,2,24,9,4.666666666666667,21,148.91666666666666,0,0,0,2,2019,3
272,KL Rahul,94,85,16,3273,98,41.3125,2400,130.915,2,27,282,134,2021,8
273,KP Appanna,7,3,2,2,1,1.0,4,33.33,0,0,0,0,2010,2
274,Kagiso Rabada,74,29,12,206,9,13.265,191,127.445,0,0,16,8,2024,6
275,Kamlesh Nagarkoti,11,7,3,22,8,3.665,33,35.48,0,0,1,0,2021,2
276,Kamran Akmal,6,6,1,128,53,25.6,78,164.1,0,1,13,8,2008,1
277,Kamran Khan,5,1,0,3,3,3.0,5,60.0,0,0,0,0,2009,1
278,Kane Richardson,14,4,1,36,26,6.0,39,81.48,0,0,2,1,2016,3
279,Kane Williamson,78,77,17,2128,89,32.42777777777778,1694,118.97666666666666,0,18,186,64,2024,9
280,Karan Goel,22,17,2,218,38,15.386666666666665,231,93.55333333333334,0,0,17,9,2010,3
281,Karan Sharma,3,3,0,16,9,5.0,25,78.57,0,0,1,0,2023,2
282,Karanveer Singh,9,4,3,12,5,5.5,17,84.375,0,0,1,0,2015,2
283,Karn Sharma,71,38,13,350,39,9.867142857142856,291,124.59571428571428,0,0,20,17,2024,7
284,Kartik Tyagi,16,7,3,13,7,3.1666666666666665,16,77.77333333333333,0,0,1,0,2022,3
285,Karun Nair,76,68,5,1496,9,17.482222222222223,1171,112.14111111111112,0,10,161,39,2022,9
286,Kedar Jadhav,95,81,27,1208,69,15.093333333333334,981,118.2075,0,4,102,40,2023,12
287,Keemo Paul,8,6,1,18,7,3.6,24,75.0,0,0,1,1,2019,1
288,Kemar Roach,2,1,0,10,10,10.0,9,111.11,0,0,1,0,2010,1
289,Keshav Maharaj,2,1,0,1,1,1.0,2,50.0,0,0,0,0,2024,1
290,Kevin Pietersen,36,36,9,1001,66,40.28,743,130.582,1,4,91,40,2016,5
291,Kevon Cooper,25,14,5,116,32,13.916666666666666,68,172.42333333333332,0,0,9,8,2014,3
292,Khaleel Ahmed,23,3,0,1,1,0.3333333333333333,5,16.666666666666668,0,0,0,0,2021,3
293,Kieron Pollard,189,171,52,3412,87,29.536153846153848,2316,146.29153846153847,0,16,218,223,2022,13
294,Krishnakant Upadhyay,1,1,1,11,11,0.0,8,137.5,0,0,0,1,2012,1
295,Krishnappa Gowtham,31,26,9,247,9,19.3125,147,153.0025,0,0,15,17,2023,4
296,Krunal Pandya,127,111,38,1647,86,24.275555555555556,1240,132.84555555555556,0,1,144,61,2024,9
