,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons
509,Sandeep Lamichhane,6,1,0,0,0,0.0,1,0.0,0,0,0,0,2019,1
510,Sandeep Sharma,107,26,20,54,9,2.5555555555555554,69,81.93666666666667,0,0,4,0,2023,9
511,Sanjay Bangar,11,7,1,47,17,7.83,49,95.91,0,0,1,3,2008,1
512,Sanju Samson,168,163,19,4419,92,30.68166666666667,3180,137.8775,3,25,352,206,2024,12
513,Sanvir Singh,6,5,3,25,8,12.5,21,119.44,0,0,2,1,2024,2
514,Sarfaraz Khan,50,37,11,585,67,22.00375,448,119.3225,0,1,63,14,2023,8
515,Saurabh Tiwary,93,73,21,1494,61,25.89,1244,119.73545454545456,0,8,111,50,2021,11
516,Saurav Chauhan,3,3,0,18,9,6.0,15,120.0,0,0,1,1,2024,1
517,Scott Styris,12,10,3,131,5,10.886666666666665,133,172.01666666666665,0,0,10,3,2011,3
518,Sean Abbott,3,3,0,22,7,7.25,18,127.69,0,0,1,2,2022,2
519,Shadab Jakati,30,5,4,28,6,6.666666666666667,29,80.55333333333334,0,0,3,0,2016,3
520,Shahbaz Ahmed,55,37,9,536,59,14.038,440,113.902,0,1,28,25,2024,5
521,Shahbaz Nadeem,52,19,6,39,6,1.995,84,40.2475,0,0,2,0,2021,8
522,Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,7,6,2008,1
523,Shahrukh Khan,40,38,10,553,58,19.747500000000002,391,144.45499999999998,0,1,35,37,2024,4
524,Shai Hope,9,9,1,183,41,22.88,122,150.0,0,0,12,12,2024,1
525,Shakib Al Hasan,71,52,12,793,9,15.222222222222221,637,117.13444444444445,0,2,73,21,2021,9
526,Shalabh Srivastava,14,4,3,5,3,0.5,5,91.665,0,0,0,0,2011,2
527,Shams Mulani,2,1,1,1,1,0.0,1,100.0,0,0,0,0,2024,1
528,Shane Bond,8,1,0,1,1,1.0,2,50.0,0,0,0,0,2010,1
529,Shane Harwood,3,2,2,9,6,0.0,14,64.28,0,0,0,0,2009,1
530,Shane Warne,55,29,9,198,5,8.625,214,78.5925,0,0,14,6,2011,4
531,Shane Watson,145,141,16,3874,96,31.699166666666667,2809,135.3658333333333,4,21,376,190,2020,12
532,Shanthakumaran Sreesanth,22,8,6,33,4,0.16666666666666666,48,55.81666666666667,0,0,6,0,2011,3
533,Shardul Thakur,95,37,12,307,7,7.958888888888889,221,132.96333333333334,0,1,27,13,2024,9
534,Shashank Singh,24,19,7,423,68,30.75,262,155.72500000000002,0,2,33,25,2024,2
